"1" "Machine Learning, Big Data, MATLAB, JIRA, Jenkins, SVN, PHP, Image Processing, Maven, Git, Data Science, Python"
"2" "TensorFlow, AI, Machine Learning, Node.js, Natural Language Processing, Data Science, Python"
"3" "Machine Learning, Data Warehouse"
"4" "R, Python"
"5" "Machine Learning, R, Azure, Visual Basic, Scala, SharePoint, Spark, Data Warehouse, AWS, Agile, Java, Data Science, Python"
"6" "Hive, Spark, Machine Learning, Hadoop, Python"
"7" "Machine Learning, PostgresSQL, Spark, Data Warehouse, Git, Data Science, Python"
"8" "Machine Learning, Perl, C/C++, Big Data, Java, Python"
"9" "Data Mining, Ruby, Machine Learning, C/C++, Java, Python"
"10" "R, Python, Data Science"
"11" "Machine Learning, R, Java, Data Science, Python"
"12" "MySQL, PostgresSQL, BI, Image Processing, Tableau, Python, AWS"
"13" "Ruby, Machine Learning, R, Data Science, Python"
"14" "Machine Learning, R, BI, Data Mining, SPSS, Sas, Data Warehouse"
"15" "Hive, Perl, R, Big Data, MATLAB, Hadoop, Spark, Data Warehouse, Shell Script, Python, AWS"
"16" "Machine Learning, Big Data, MATLAB, JIRA, Jenkins, SVN, PHP, Image Processing, Maven, Git, Data Science, Python"
"17" "Machine Learning, R, BI, Data Mining, SPSS, Sas, Data Warehouse"
"18" "Hive, SPSS, Machine Learning, Hadoop, R, Sas, C/C++, Java, Natural Language Processing, AWS"
"19" "Agile, Machine Learning, R, Big Data, Data Mining, Tableau, Python"
"20" "Tableau"
"21" "Hive, Machine Learning, Data Mining, Hadoop, Spark, Python"
"22" "SQL Server, R, Big Data, Data Mining, Oracle, Sas, Data Science, DB2"
"23" "R, Sas, MATLAB, Python"
"24" "Machine Learning, R, Natural Language Processing, PL/SQL, Financial Analysis, MATLAB, SPSS, Sas, Oracle, Java, Spark, Python"
"25" "R, Big Data, BI, Data Mining, Hadoop, Tableau, Data Warehouse, Data Science, Python"
"26" "Machine Learning, Experimental Design, R, Data Mining, Data Science, Python"
"27" "Hive, Agile, Machine Learning, R, Big Data, Hadoop, Java, Spark, Python, Data Science, Signal Processing"
